Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
KD-7513R,ឈុត ក្រហម,,KD168,1,5,14,10, No Tax, exclusive,KD7513,120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7513W,ឈុត ស,,KD168,1,5,14,10, No Tax, exclusive,KD7513,120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7513Y,ឈុត លឿង,,KD168,1,5,14,10, No Tax, exclusive,KD7513,120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7513Br,ឈុត ត្នោត,,KD168,1,5,14,10, No Tax, exclusive,KD7513,120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7513G,ឈុត បៃតង,,KD168,1,5,14,10, No Tax, exclusive,KD7513,120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7551W,ឈុត ស,,KD168,1,5,14,10, No Tax, exclusive,KD7551,110=1_14|120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7551B,ឈុត ខ្មៅ,,KD168,1,5,14,10, No Tax, exclusive,KD7551,110=1_14|120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7230P,ឈុត ឈូក,,KD168,1,5,22,10, No Tax, exclusive,KD7230,110=1_22|120=1_22|130=1_22|140=1_22|150=1_22|160=1_22,,,,,,,,,,,,no_image.png,standard
KD-7230B,ឈុត ខ្មៅ,,KD168,1,5,22,10, No Tax, exclusive,KD7230,110=1_22|120=1_22|130=1_22|140=1_22|150=1_22|160=1_22,,,,,,,,,,,,no_image.png,standard
KD-7688,ឈុត(1),,KD168,1,5,20,10, No Tax, exclusive,KD7688,110=1_20|120=1_20|130=1_20|140=1_20|150=1_20|160=1_20,,,,,,,,,,,,no_image.png,standard
KD-7688,ឈុត(2),,KD168,1,5,20,10, No Tax, exclusive,KD7688,110=1_20|120=1_20|130=1_20|140=1_20|150=1_20|160=1_20,,,,,,,,,,,,no_image.png,standard
KD-7688,ឈុត(3),,KD168,1,5,20,10, No Tax, exclusive,KD7688,110=1_20|120=1_20|130=1_20|140=1_20|150=1_20|160=1_20,,,,,,,,,,,,no_image.png,standard
KD-7670,រ៉ូប ស,,KD168,1,5,12,10, No Tax, exclusive,KD7670,110=1_12|120=1_12|130=1_12|140=1_12|150=1_12|160=1_12,,,,,,,,,,,,no_image.png,standard
KD-7670B,រ៉ូប ខ្មៅ,,KD168,1,5,12,10, No Tax, exclusive,KD7670,110=1_12|120=1_12|130=1_12|140=1_12|150=1_12|160=1_12,,,,,,,,,,,,no_image.png,standard
KD-7597R,ឈុត ក្រហម,,KD168,1,5,20,10, No Tax, exclusive,KD7597,110=1_20|120=1_20|130=1_20|140=1_20|150=1_20|160=1_20|170=1_20,,,,,,,,,,,,no_image.png,standard
KD-7597P,ឈុត ឈូក,,KD168,1,5,20,10, No Tax, exclusive,KD7597,110=1_20|120=1_20|130=1_20|140=1_20|150=1_20|160=1_20|170=1_20,,,,,,,,,,,,no_image.png,standard
KD-7597B,ឈុត ខ្មៅ,,KD168,1,5,20,10, No Tax, exclusive,KD7597,110=1_20|120=1_20|130=1_20|140=1_20|150=1_20|160=1_20|170=1_20,,,,,,,,,,,,no_image.png,standard
KD-6816W,រ៉ូប ស,,KD168,1,5,16,10, No Tax, exclusive,KD6816,120=1_16|130=1_16|140=1_16|150=1_16|160=1_16,,,,,,,,,,,,no_image.png,standard
KD-6816P,រ៉ូប ឈូក,,KD168,1,5,16,10, No Tax, exclusive,KD6816,120=1_16|130=1_16|140=1_16|150=1_16|160=1_16,,,,,,,,,,,,no_image.png,standard
KD-6870P,រ៉ូប ​ឈូក,,KD168,1,5,12,10, No Tax, exclusive,KD6870,80=1_12|90=1_12|100=1_12|110=1_12,,,,,,,,,,,,no_image.png,standard
KD-6870W,រ៉ូប ស,,KD168,1,5,12,10, No Tax, exclusive,KD6870,80=1_12|90=1_12|100=1_12|110=1_12,,,,,,,,,,,,no_image.png,standard
KD-6870P3,រ៉ូប ឈូក(3),,KD168,1,5,12,10, No Tax, exclusive,KD6870,80=1_12|90=1_12|100=1_12|110=1_12,,,,,,,,,,,,no_image.png,standard
KD-7300P1,រ៉ូប ឈូក(1),,KD168,1,5,8,10, No Tax, exclusive,KD7300,100=1_8|110=1_8|120=1_8|130=1_8|140=1_8|150=1_8,,,,,,,,,,,,no_image.png,standard
KD-7300P2,រ៉ូប ឈូក(2),,KD168,1,5,8,10, No Tax, exclusive,KD7300,100=1_8|110=1_8|120=1_8|130=1_8|140=1_8|150=1_8,,,,,,,,,,,,no_image.png,standard
KD-7300P3,រ៉ូប ឈូក(3),,KD168,1,5,8,10, No Tax, exclusive,KD7300,100=1_8|110=1_8|120=1_8|130=1_8|140=1_8|150=1_8,,,,,,,,,,,,no_image.png,standard
KD7356W,ឈុត ស​,,KD168,1,5,14,10, No Tax, exclusive,KD7356,110=1_14|120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-7356P,ឈុត ឈូក,,KD168,1,5,14,10, No Tax, exclusive,KD7356,110=1_14|120=1_14|130=1_14|140=1_14|150=1_14|160=1_14,,,,,,,,,,,,no_image.png,standard
KD-1647W,ឈុត ស,,KD168,1,5,15,10, No Tax, exclusive,KD1647,110=1_15|120=1_15|130=1_15|140=1_15|150=1_15|160=1_15,,,,,,,,,,,,no_image.png,standard
KD-1647B,ឈុត ខ្មៅ,,KD168,1,5,15,10, No Tax, exclusive,KD1647,110=1_15|120=1_15|130=1_15|140=1_15|150=1_15|160=1_15,,,,,,,,,,,,no_image.png,standard
KD-7547P,រ៉ូប ឈូក,,KD168,1,5,16.5,10, No Tax, exclusive,KD7547,110=1_16.5|120=1_16.5|130=1_16.5|140=1_16.5|150=1_16.5|160=1_16.5,,,,,,,,,,,,no_image.png,standard
KD-7547G,រ៉ូប បៃតង,,KD168,1,5,16.5,10, No Tax, exclusive,KD7547,110=1_16.5|120=1_16.5|130=1_16.5|140=1_16.5|150=1_16.5|160=1_16.5,,,,,,,,,,,,no_image.png,standard
KD-7697Y,ឈុត លឿង,,KD168,1,5,18,10, No Tax, exclusive,KD7697,110=1_18|120=1_18|130=1_18|140=1_18|150=1_18|160=1_18,,,,,,,,,,,,no_image.png,standard
KD-7697R,ឈុត ក្រហម,,KD168,1,5,18,10, No Tax, exclusive,KD7697,110=1_18|120=1_18|130=1_18|140=1_18|150=1_18|160=1_18,,,,,,,,,,,,no_image.png,standard
KD-7697G,ឈុត បៃតង,,KD168,1,5,18,10, No Tax, exclusive,KD7697,110=1_18|120=1_18|130=1_18|140=1_18|150=1_18|160=1_18,,,,,,,,,,,,no_image.png,standard
KD-7698,ឈុត,,KD168,1,5,17,10, No Tax, exclusive,KD7698,110=1_17|120=1_17|130=1_17|140=1_17|150=1_17|160=1_17,,,,,,,,,,,,no_image.png,standard
KD-7699Pu,ឈុត ស្វាយ,,KD168,1,5,22,10, No Tax, exclusive,KD7699,120=1_22|130=1_22|140=1_22|150=1_22|160=1_22,,,,,,,,,,,,no_image.png,standard
KD-7699R,ឈុត ក្រហម,,KD168,1,5,22,10, No Tax, exclusive,KD7699,120=1_22|130=1_22|140=1_22|150=1_22|160=1_22,,,,,,,,,,,,no_image.png,standard
KD-7699Bl,ឈុត ខៀវ,,KD168,1,5,22,10, No Tax, exclusive,KD7699,120=1_22|130=1_22|140=1_22|150=1_22|160=1_22,,,,,,,,,,,,no_image.png,standard
